ChickID,"Developed, High Intensity","Developed, Low Intensity",Crop Rotation,Cranberries,Forage Grassland,Idle Grassland,Coniferous Forest,Broad-leaved Deciduous Forest,Mixed Deciduous/Coniferous Forest,Open Water,Floating Aquatic Herbaceous Vegetation,Emergent/Wet Meadow,Lowland Scrub/Shrub,Forested Wetland,Barren,Shrubland
W1_06,0,0,0,0,0,259,10,314,0,1112,127,1453,279,1547,11,0
W2_06,0,0,0,0,0,259,10,314,0,1112,127,1453,279,1547,11,0
W1_09,0,0,183,0,7,0,217,3251,0,105,466,164,30,692,0,0
W2_09,0,0,0,0,0,636,272,727,0,36,0,554,555,2319,15,0
W1_10,0,43,0,0,0,102,12,239,0,1625,125,1998,118,852,0,0
W2_10,0,43,0,0,0,102,12,239,0,1625,125,1998,118,852,0,0
W3_10,0,9,0,0,0,0,270,3374,0,25,466,148,37,773,0,0
W4_10,0,0,0,0,0,0,0,741,0,357,32,2761,205,1019,0,0
W5_10,0,0,0,0,0,0,0,741,0,357,32,2761,205,1019,0,0
W6_10,0,0,0,0,0,0,183,467,0,0,0,1022,714,2723,0,0
W7_10,0,0,0,0,0,8,41,432,0,122,26,2645,951,886,0,0
W1_11,0,0,0,0,0,70,453,808,0,115,0,799,18,2856,0,0
W2_11,0,0,0,0,0,36,31,1097,0,278,32,2571,118,939,0,0
W3_11,0,0,0,0,0,59,85,221,0,21,0,2748,154,1812,0,0
W4_11,0,5,0,0,0,694,490,957,0,1300,2,534,223,882,15,0
W1_12,0,4,0,0,21,0,129,3582,0,12,466,133,40,722,0,0
W2_12,0,0,0,0,0,9,1650,2432,0,156,10,429,137,234,49,0
W3_12,0,0,0,0,0,9,1650,2432,0,156,10,429,137,234,49,0
W4_12,0,23,0,0,0,151,273,1328,0,586,0,1313,45,1390,7,0
W5_12,0,0,0,0,0,74,0,43,0,1116,134,2089,175,1480,0,0
W6_12,0,0,0,0,0,0,408,685,0,595,22,2417,135,849,0,0
W7_12,0,0,0,0,0,389,25,441,0,1228,106,1355,261,1293,15,0
W8_12,0,0,0,0,0,75,229,291,0,15,0,2106,123,2275,0,0
W9_12,0,0,0,0,0,42,679,980,0,0,0,1646,210,1554,0,0
W1_13,0,0,0,0,0,0,0,738,0,703,783,1100,118,1664,0,0
W2_13,0,0,0,0,0,0,0,738,0,703,783,1100,118,1664,0,0
W3_13,0,49,0,0,0,104,12,360,0,1706,99,1978,107,699,0,0
W1_14,0,0,0,0,0,44,265,354,0,15,0,1663,123,2648,0,0
W2_14,0,0,0,0,0,44,265,354,0,15,0,1663,123,2648,0,0
W3_14,0,0,191,0,13,0,228,3203,0,121,466,164,30,693,0,0
W4_14,0,97,188,727,934,602,189,1019,0,622,0,146,35,527,19,0
W5_14,0,97,188,727,934,602,189,1019,0,622,0,146,35,527,19,0
W6_14,0,5,0,0,0,89,356,1396,0,479,0,1362,1,1416,5,0
W7_14,0,5,0,0,0,89,356,1396,0,479,0,1362,1,1416,5,0
W8_14,0,0,0,0,0,11,132,347,0,315,68,826,372,3040,0,0
W9_14,0,0,0,0,0,11,132,347,0,315,68,826,372,3040,0,0
W10_14,0,0,0,0,0,718,250,775,0,84,0,558,560,2153,15,0
W11_14,0,0,0,0,0,718,250,775,0,84,0,558,560,2153,15,0
W12_14,0,0,0,0,0,72,18,253,0,678,45,1882,293,1869,0,0
W13_14,0,0,0,0,0,0,0,610,0,718,859,1156,114,1653,0,0
W1_15,0,0,0,0,0,90,69,269,0,22,0,2552,149,1957,0,0
W2_15,0,0,0,0,0,0,27,489,0,214,72,1296,120,2895,0,0
W3_15,0,0,0,0,0,0,113,259,0,904,582,1579,1429,246,0,0
W4_15,0,0,0,0,0,0,113,259,0,904,582,1579,1429,246,0,0
W5_15,0,0,0,0,0,427,271,540,0,41,0,2351,277,1196,0,0
W6_15,0,0,0,0,0,0,0,588,0,720,856,1140,111,1701,0,0
W7_15,0,0,0,0,0,0,0,588,0,720,856,1140,111,1701,0,0
W8_15,0,0,0,0,0,28,78,469,0,859,19,2326,344,991,0,0
W9_15,0,0,0,0,0,28,78,469,0,859,19,2326,344,991,0,0
W10_15,0,0,0,0,0,367,14,398,0,1191,109,1359,286,1361,15,0
W11_15,0,0,0,0,0,367,14,398,0,1191,109,1359,286,1361,15,0
W12_15,0,23,0,0,0,129,294,1401,0,527,0,1346,11,1372,8,0
W13_15,0,23,0,0,0,129,294,1401,0,527,0,1346,11,1372,8,0
W14_15,0,0,0,0,0,0,36,375,0,143,66,2155,1309,1035,0,0
W15_15,0,0,0,0,0,0,36,375,0,143,66,2155,1309,1035,0,0
W16_15,0,13,0,0,0,0,1367,1703,0,0,0,645,399,977,0,0
W17_15,0,0,0,0,0,0,11,880,0,216,0,2079,234,1694,0,0
W18_15,0,49,0,0,0,382,569,743,0,1455,84,1102,56,658,15,0
W19_15,0,49,0,0,0,382,569,743,0,1455,84,1102,56,658,15,0
W20_15,0,0,0,0,0,34,0,2014,0,0,0,726,340,1999,0,0
W21_15,0,0,0,0,0,34,0,2014,0,0,0,726,340,1999,0,0
W22_15,0,0,0,0,11,0,332,899,0,307,85,3117,64,300,0,0
W23_15,0,0,0,0,0,44,368,681,0,80,0,2732,143,1066,0,0
W24_15,0,0,0,0,0,58,0,39,0,1223,134,2174,158,1327,0,0
W1_16,0,0,0,0,0,74,229,271,0,15,0,2117,123,2279,0,0
W2_16,0,0,0,0,0,74,229,271,0,15,0,2117,123,2279,0,0
W3_16,0,3,175,0,1,0,228,3234,0,125,466,164,30,686,0,0
W4_16,0,0,1193,0,0,10,130,432,0,0,0,226,125,2994,0,0
W5_16,0,0,0,0,0,0,181,2424,0,0,0,411,274,1821,0,0
W6_16,0,61,2691,0,636,623,197,522,0,11,0,211,16,141,0,0
W7_16,0,0,0,0,0,0,36,439,0,36,32,2112,1140,1315,0,0
W8_16,0,0,0,0,0,0,36,439,0,36,32,2112,1140,1315,0,0
W9_16,0,0,0,0,0,0,11,877,0,217,0,2079,234,1697,0,0
W10_16,0,0,0,0,0,0,11,877,0,217,0,2079,234,1697,0,0
W11_16,0,0,0,0,0,642,294,754,0,40,0,485,554,2328,15,0
W12_16,0,0,0,0,0,642,294,754,0,40,0,485,554,2328,15,0
W13_16,0,49,0,0,0,104,12,360,0,1706,99,1978,107,699,0,0
W14_16,0,49,0,0,0,104,12,360,0,1706,99,1978,107,699,0,0
W15_16,0,0,0,0,0,458,239,499,0,33,0,2467,297,1117,0,0
W16_16,0,0,0,0,0,73,324,500,0,291,13,1029,124,2749,0,0
W17_16,0,0,0,0,0,73,324,500,0,291,13,1029,124,2749,0,0
W18_16,0,0,0,0,0,42,679,973,0,0,0,1642,210,1556,0,0
W19_16,0,0,0,0,0,363,13,400,0,1192,113,1378,279,1358,15,0
W20_16,0,0,0,0,0,214,66,254,0,1133,0,2409,472,563,0,0
W21_16,0,0,0,0,0,123,86,283,0,1495,0,2144,349,620,2,0
W22_16,0,0,0,0,0,63,0,40,0,1285,134,2186,159,1250,0,0
W23_16,0,90,188,831,994,610,152,897,0,622,0,146,31,522,19,0
W1_17,0,0,1041,0,0,8,145,412,0,0,0,237,114,3145,0,0
W2_17,0,0,1041,0,0,8,145,412,0,0,0,237,114,3145,0,0
W3_17,0,90,188,951,908,589,194,932,0,622,0,146,35,442,19,0
W4_17,0,0,0,0,0,0,0,567,0,721,863,1141,110,1711,0,0
W5_17,0,0,0,0,0,95,0,1657,0,39,0,773,333,2205,0,0
W6_17,0,0,0,0,0,0,1548,545,11,0,0,516,0,2489,0,0
W7_17,0,7,0,0,0,63,372,1365,0,465,0,1355,8,1472,3,0
W8_17,0,7,0,0,0,63,372,1365,0,465,0,1355,8,1472,3,0
W9_17,0,0,0,0,0,0,728,2722,0,0,0,538,100,1012,0,0
W10_17,0,0,0,0,0,0,728,2722,0,0,0,538,100,1012,0,0
W11_17,0,0,0,0,0,132,58,148,0,318,0,3152,399,894,0,0
W12_17,0,0,0,0,0,43,272,349,0,15,0,1535,123,2767,0,0
W13_17,0,0,0,0,0,41,9,272,0,343,83,3329,535,494,0,0
W14_17,0,21,0,0,0,266,143,368,0,1537,55,1971,149,584,15,0
W15_17,0,0,0,0,0,0,380,349,0,18,39,673,291,3364,0,0
W16_17,0,0,0,0,0,392,17,421,0,1211,104,1334,288,1328,15,0
W17_17,0,0,0,0,0,392,17,421,0,1211,104,1334,288,1328,15,0
W18_17,0,0,0,0,0,0,1827,313,10,177,1,622,212,1948,0,0
W1_18,0,0,1071,0,0,8,138,416,0,0,0,247,109,3126,0,0
W2_18,0,0,1071,0,0,8,138,416,0,0,0,247,109,3126,0,0
W3_18,0,90,188,801,995,607,154,916,0,622,0,146,31,533,19,0
W4_18,0,90,188,801,995,607,154,916,0,622,0,146,31,533,19,0
W5_18,0,0,0,0,0,28,34,590,0,238,15,2950,206,1042,0,0
W6_18,0,0,0,0,0,0,42,798,0,102,1,2079,556,1531,0,0
W7_18,0,0,0,0,0,74,9,85,0,1594,63,2190,179,922,0,0
W8_18,0,0,0,0,0,74,9,85,0,1594,63,2190,179,922,0,0
W9_18,0,63,7,0,0,42,1170,774,0,34,0,1156,60,1794,0,0
W10_18,0,0,0,0,0,30,0,51,0,1422,0,2213,318,1078,0,0
W1_19,0,0,1056,0,0,8,139,413,0,0,0,246,109,3141,0,0
W2_19,0,0,0,992,357,515,41,2182,0,17,0,74,126,745,61,0
W3_19,0,99,221,0,6,76,121,208,0,140,93,2531,1297,321,0,0
W4_19,0,99,221,0,6,76,121,208,0,140,93,2531,1297,321,0,0
W5_19,0,0,0,0,0,28,38,600,0,245,15,2931,205,1049,0,0
W6_19,0,0,0,0,0,28,38,600,0,245,15,2931,205,1049,0,0
W7_19,0,0,0,0,0,0,36,477,0,249,191,1815,1375,978,0,0
W8_19,0,0,0,0,0,0,36,477,0,249,191,1815,1375,978,0,0
W9_19,0,0,0,0,11,0,356,959,0,295,85,3011,86,309,0,0
W10_19,0,0,0,0,0,0,0,797,0,698,771,1110,121,1613,0,0
W11_19,0,0,0,0,0,0,0,797,0,698,771,1110,121,1613,0,0
W12_19,0,0,0,0,0,388,24,440,0,1226,106,1357,263,1295,15,0
W13_19,0,0,0,0,0,457,241,563,0,43,0,2513,286,1008,0,0
W14_19,0,0,0,0,0,9,36,361,0,181,61,2673,1039,754,0,0
W15_19,0,0,0,0,0,0,131,1077,0,169,0,1817,184,1730,0,0
W16_19,0,0,0,0,0,139,33,128,0,1655,84,2212,133,730,0,0
W17_19,0,0,0,0,0,139,33,128,0,1655,84,2212,133,730,0,0
W18_19,0,100,76,0,2,178,742,494,0,34,0,1374,96,2002,0,0
W19_19,0,0,0,0,0,75,228,301,0,15,0,2063,123,2305,0,0
W1_20,0,0,1122,0,0,10,138,423,0,0,0,229,122,3065,0,0
W2_20,0,0,1122,0,0,10,138,423,0,0,0,229,122,3065,0,0
W4_20,0,120,2573,0,859,95,109,883,0,13,0,412,0,36,0,0
W5_20,0,0,8,0,0,254,7,1360,0,21,27,2280,133,1014,0,0
W6_20,0,0,0,0,11,0,349,947,0,294,85,3040,73,313,0,0
W7_20,0,0,0,0,0,75,229,304,0,15,0,2050,123,2313,0,0
W8_20,0,0,0,0,0,75,229,304,0,15,0,2050,123,2313,0,0
W9_20,373,243,2707,0,475,521,42,13,0,2,0,0,0,0,737,0
W10_20,373,243,2707,0,475,521,42,13,0,2,0,0,0,0,737,0
W12_20,0,13,694,0,359,53,89,468,0,224,140,1144,379,1545,0,0
W13_20,0,0,0,0,0,260,0,31,0,652,27,3949,138,56,0,0
W16_20,0,0,0,0,0,349,15,409,0,1201,115,1408,255,1348,15,0
W17_20,0,0,0,0,0,72,324,504,0,290,13,1024,123,2754,0,0
W18_20,0,0,37,0,0,0,593,772,0,358,0,1364,22,1968,0,0
W1_21,0,0,0,0,0,79,95,371,12,0,0,2871,340,1339,0,0
W2_21,0,0,47,0,0,11,0,274,0,10,0,2889,792,1091,0,0
W3_21,0,0,47,0,0,11,0,274,0,10,0,2889,792,1091,0,0
W4_21,0,0,0,0,0,107,622,2487,0,16,0,729,603,554,0,0
W5_21,0,0,0,0,0,107,622,2487,0,16,0,729,603,554,0,0
W6_21,0,123,250,0,7,101,150,267,0,88,72,2390,1306,357,0,0
W7_21,0,123,250,0,7,101,150,267,0,88,72,2390,1306,357,0,0
W8_21,0,0,0,0,0,401,0,72,0,409,84,4000,100,47,0,0
W9_21,0,0,0,0,0,401,0,72,0,409,84,4000,100,47,0,0
W10_21,0,0,0,0,0,1,46,516,0,59,17,2344,1001,1131,0,0
W11_21,0,0,0,0,0,462,234,501,0,34,0,2486,299,1094,0,0
W12_21,0,0,0,0,0,0,385,819,0,64,0,1454,0,2391,0,0
W13_21,0,0,0,0,0,182,83,273,0,1219,0,2341,457,549,0,0
W14_21,0,0,0,0,0,376,19,427,0,1219,108,1371,255,1312,15,0
W1_22,0,0,0,0,0,0,1030,481,0,0,0,491,0,3108,0,0
W2_22,0,0,0,0,0,0,1030,481,0,0,0,491,0,3108,0,0
W3_22,0,0,2,0,0,46,0,282,0,0,0,3412,107,1254,0,0
W4_22,0,59,1355,0,1719,109,1159,688,2,0,0,17,0,0,0,0
W5_22,0,0,194,0,6,131,294,479,30,26,0,2120,442,1386,0,0
W6_22,0,0,194,0,6,131,294,479,30,26,0,2120,442,1386,0,0
W7_22,0,21,389,0,71,62,506,627,0,100,0,497,770,2066,0,0
W8_22,0,121,2556,0,868,98,109,898,0,13,0,412,0,36,0,0
W9_22,0,0,0,0,0,405,0,73,0,405,84,3997,100,48,0,0
W10_22,0,0,12,0,0,251,7,1361,0,22,27,2291,132,1008,0,0
W11_22,0,0,0,0,0,0,593,1174,0,4,0,725,17,2598,0,0
W12_22,0,0,0,0,0,0,469,768,0,45,0,1329,0,2494,0,0
W13_22,0,0,0,0,0,459,224,481,0,36,0,2515,310,1084,0,0
W14_22,0,0,0,0,0,28,33,554,0,258,9,2987,210,1036,0,0
W1_23,0,0,218,0,0,276,149,943,0,0,27,2448,170,881,0,0
W2_23,0,0,0,0,0,274,0,66,0,654,23,3843,136,116,0,0
W3_23,0,59,1521,0,1676,72,1106,656,4,0,0,17,0,0,0,0
W4_23,0,122,2547,0,877,101,109,899,0,13,0,412,0,36,0,0
W5_23,0,0,0,0,0,80,76,407,5,0,0,2795,303,1448,0,0
W6_23,0,0,0,0,0,80,76,407,5,0,0,2795,303,1448,0,0
W7_23,0,131,2378,0,1160,763,43,569,0,9,0,33,26,0,0,0
W8_23,0,0,0,0,85,2,0,3,0,835,11,4176,0,0,0,0
W9_23,0,0,0,0,0,28,34,583,0,235,15,2974,208,1036,0,0
W10_23,0,0,0,0,0,36,37,1132,0,278,32,2558,96,944,0,0
W11_23,0,0,0,0,0,461,227,488,0,34,0,2499,307,1095,0,0
W12_23,0,0,0,0,0,0,362,867,0,131,0,1559,0,2182,0,0
W13_23,0,0,1023,0,0,7,142,413,0,0,0,247,109,3170,0,0
W14_23,0,0,0,0,0,0,0,133,0,736,121,1667,102,2352,0,0
W1_24,0,0,1048,0,0,8,144,412,0,0,0,245,112,3141,0,0
W2_24,0,0,1048,0,0,8,144,412,0,0,0,245,112,3141,0,0
W3_24,0,0,0,0,14,0,69,658,0,520,87,3068,44,648,0,0
W4_24,0,0,0,0,14,0,69,658,0,520,87,3068,44,648,0,0
W5_24,0,121,2543,0,879,99,109,896,0,13,0,412,0,36,0,0
W6_24,0,0,0,0,0,0,36,380,0,132,63,2136,1312,1045,0,0
W7_24,0,0,0,0,0,0,0,553,0,324,8,2103,407,1710,0,0
